#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
5	IPR001128	Cytochrome P450	FPrintScan	PR00385	P450	4	319,370,457,466,	336,381,466,477,	1.4e-06,1.4e-06,1.4e-06,1.4e-06
5	IPR002401	Cytochrome P450, E-class, group I	FPrintScan	PR00463	EP450I	6	193,308,328,419,456,466,	211,325,354,443,466,489,	1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
5	IPR001128	Cytochrome P450	HMMPfam	PF00067	p450	1	314,	478,	5.6e-28
5	IPR001128	Cytochrome P450	ScanRegExp	PS00086	CYTOCHROME_P450	1	459,	468,	NA
5	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	47,	512,	6e-78
77	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	FPrintScan	PR00119	CATATPASE	6	296,463,696,718,833,856,	310,477,707,728,852,868,	2.6e-34,2.6e-34,2.6e-34,2.6e-34,2.6e-34,2.6e-34
77	IPR006069	ATPase, P-type cation exchange, alpha subunit	FPrintScan	PR00121	NAKATPASE	4	211,456,971,1063,	231,477,991,1087,	1.3e-11,1.3e-11,1.3e-11,1.3e-11
77	IPR008250	E1-E2 ATPase-associated region	HMMPfam	PF00122	E1-E2_ATPase	1	215,	455,	5.2e-61
77	IPR006068	ATPase, P-type cation-transporter, C-terminal	HMMPfam	PF00689	Cation_ATPase_C	1	951,	1124,	1.6e-17
77	IPR004014	ATPase, P-type cation-transporter, N-terminal	HMMPfam	PF00690	Cation_ATPase_N	1	116,	198,	3.4e-08
77	IPR005834	Haloacid dehalogenase-like hydrolase	HMMPfam	PF00702	Hydrolase	1	459,	856,	4.9e-18
77	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	HMMTigr	TIGR01494	ATPase_P-type: ATPase, P-type (transpor	3	361,693,807,	484,743,896,	1.6e-19,6e-17,2.3e-28
77	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	ScanRegExp	PS00154	ATPASE_E1_E2	1	465,	471,	NA
77	IPR000150	Cof protein	ScanRegExp	PS01229	COF_2	1	833,	855,	NA
100	IPR009799	Ethyl tert-butyl ether degradation EthD	HMMPfam	PF07110	EthD	1	2,	89,	0.0023
100	IPR009799	Ethyl tert-butyl ether degradation EthD	HMMTigr	TIGR02118	TIGR02118: conserved hypothetical protein	1	3,	106,	0.0033
116	IPR008144	Guanylate kinase	HMMPfam	PF00625	Guanylate_kin	1	45,	150,	1.6e-44
116	IPR008145	Guanylate kinase/L-type calcium channel region	HMMSmart	SM00072	no description	1	8,	195,	5.6e-71
116	IPR017665	Guanylate kinase, sub-group	HMMTigr	TIGR03263	guanyl_kin: guanylate kinase	1	9,	193,	4.6e-85
116	IPR008144	Guanylate kinase	ProfileScan	PS50052	GUANYLATE_KINASE_2	1	9,	192,	39.497
116	IPR008144	Guanylate kinase	ScanRegExp	PS00856	GUANYLATE_KINASE_1	1	44,	61,	8e-5
132	IPR008030	NmrA-like	HMMPfam	PF05368	NmrA	1	5,	239,	9.1e-32
132	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	4,	250,	2.7e-45
146	IPR001544	Aminotransferase, class IV	BlastProDom	PD001961	Q8KJC1_RHILO_Q8KJC1;	1	196,	304,	3e-19
146	IPR001544	Aminotransferase, class IV	HMMPfam	PF01063	Aminotran_4	1	33,	305,	1.8e-18
146	IPR001544	Aminotransferase, class IV	superfamily	SSF56752	D-aminoacid aminotransferase-like PLP-dependent enzymes	1	26,	310,	2.1e-67
151	IPR006025	Peptidase M, neutral zinc metallopeptidases, zinc-binding site	ScanRegExp	PS00142	ZINC_PROTEASE	1	311,	320,	NA
155	IPR001753	Crotonase, core	HMMPfam	PF00378	ECH	1	34,	125,	1.6e-08
161	IPR011032	GroES-like	superfamily	SSF50129	GroES-like	1	131,	273,	2.9e-10
161	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	245,	337,	6.8e-07
175	IPR011044	Quinoprotein amine dehydrogenase, beta chain-like	superfamily	SSF50969	YVTN repeat-like/Quinoprotein amine dehydrogenase	1	15,	196,	2.1e-16
179	IPR000639	Epoxide hydrolase-like	FPrintScan	PR00412	EPOXHYDRLASE	5	123,152,197,350,381,	141,167,210,366,403,	5.7e-11,5.7e-11,5.7e-11,5.7e-11,5.7e-11
179	IPR000073	Alpha/beta hydrolase fold-1	HMMPfam	PF00561	Abhydrolase_1	1	153,	207,	1.5e-08
179	IPR010497	Epoxide hydrolase, N-terminal	HMMPfam	PF06441	EHN	1	26,	136,	8.5e-40
179	IPR016292	Epoxide hydrolase	HMMPIR	PIRSF001112	Epoxide hydrolase	1	1,	409,	2e-47
187	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	27,	64,	9.5e-05
187	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	23,	67,	2.5e-08
187	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	28,	58,	10.436
187	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	28,	56,	8e-5
187	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	16,	70,	2.9e-11
206	IPR001176	1-aminocyclopropane-1-carboxylate synthase	FPrintScan	PR00753	ACCSYNTHASE	7	39,101,123,182,218,258,291,	65,121,144,206,241,282,314,	3.9e-26,3.9e-26,3.9e-26,3.9e-26,3.9e-26,3.9e-26,3.9e-26
206	IPR004839	Aminotransferase, class I and II	HMMPfam	PF00155	Aminotran_1_2	1	74,	418,	2.8e-29
206	IPR015424	Pyridoxal phosphate-dependent transferase, major region	superfamily	SSF53383	PLP-dependent transferases	1	1,	416,	3.9e-58
247	IPR015131	Killer toxin, Kp4	HMMPfam	PF09044	Kp4	1	5,	124,	4.1e-21
247	IPR011329	Killer toxin, Kp4/SMK-like, core	superfamily	SSF55221	Yeast killer toxins	1	18,	125,	1.5e-19
264	IPR010730	Heterokaryon incompatibility	HMMPfam	PF06985	HET	1	44,	198,	8e-14
267	IPR010636	Hydrophobin 2	BlastProDom	PD007191	THYD_CLAFS_Q9UVI4;	1	109,	156,	5e-06
267	IPR010636	Hydrophobin 2	HMMPfam	PF06766	Hydrophobin_2	1	108,	173,	1.9e-18
267	IPR010636	Hydrophobin 2	superfamily	SSF101751	Hydrophobin II, HfbII	1	107,	170,	1.4e-15
284	IPR010916	TonB box, conserved site	ScanRegExp	PS00430	TONB_DEPENDENT_REC_1	1	1,	67,	NA
289	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	22,	60,	1.2e-07
289	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMSmart	SM00066	no description	1	18,	62,	7.4e-05
289	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	23,	53,	9.743
289	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ScanRegExp	PS00463	ZN2_CY6_FUNGAL_1	1	23,	51,	8e-5
289	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	11,	62,	1.9e-08
299	IPR007219	Fungal specific transcription factor	HMMPfam	PF04082	Fungal_trans	1	184,	299,	9.8e-07
302	IPR002347	Glucose/ribitol dehydrogenase	FPrintScan	PR00081	GDHRDH	5	3,78,136,168,189,	20,89,152,187,206,	6.5e-13,6.5e-13,6.5e-13,6.5e-13,6.5e-13
302	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	adh_short	1	2,	187,	0.0003
302	IPR002198	Short-chain dehydrogenase/reductase SDR	ScanRegExp	PS00061	ADH_SHORT	1	155,	183,	NA
302	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	1,	265,	2.9e-33
303	IPR002319	Phenylalanyl-tRNA synthetase, class IIc	HMMPfam	PF01409	tRNA-synt_2d	1	210,	505,	4.3e-134
303	IPR004529	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	HMMTigr	TIGR00468	pheS: phenylalanyl-tRNA synthetase, alpha su	1	145,	507,	1.7e-107
303	IPR006195	Aminoacyl-tRNA synthetase, class II	ProfileScan	PS50862	AA_TRNA_LIGASE_II	1	229,	494,	18.128
313	IPR000490	Glycoside hydrolase, family 17	HMMPfam	PF00332	Glyco_hydro_17	1	431,	696,	0.00037
313	IPR017853	Glycoside hydrolase, catalytic core	superfamily	SSF51445	(Trans)glycosidases	1	409,	696,	1.3e-56
323	IPR000722	RNA polymerase, alpha subunit	HMMPfam	PF00623	RNA_pol_Rpb1_2	1	368,	535,	6.4e-108
323	IPR007066	RNA polymerase Rpb1, domain 3	HMMPfam	PF04983	RNA_pol_Rpb1_3	1	538,	713,	1.8e-53
323	IPR007080	RNA polymerase Rpb1, domain 1	HMMPfam	PF04997	RNA_pol_Rpb1_1	1	19,	366,	2.5e-127
